runname,epoch,filename,loss,ep_runtime,ds_train_len,ds_val_len,train_r_p_mean_file,train_rmse_map_mean_file,r_p_all,rmse_all,r_p_mean_file,rmse_mean_file,rmse_map_mean_file,r_p_mean_con,rmse_mean_con,rmse_map_mean_con,rmse_star_map_mean_con,name,data_dir,output_dir,pretrained_model,csv_file,csv_con,csv_deg,csv_mos_train,csv_mos_val,csv_db_train,csv_db_val,tr_epochs,tr_early_stop,tr_bs,tr_bs_val,tr_lr,tr_lr_patience,tr_num_workers,tr_parallel,tr_ds_to_memory,tr_ds_to_memory_workers,tr_device,tr_checkpoint,tr_verbose,tr_bias_mapping,tr_bias_min_r,tr_bias_anchor_db,ms_sr,ms_fmax,ms_n_fft,ms_hop_length,ms_win_length,ms_n_mels,ms_seg_length,ms_seg_hop_length,ms_max_segments,ms_channel,model,cnn_model,cnn_c_out_1,cnn_c_out_2,cnn_c_out_3,cnn_kernel_size,cnn_dropout,cnn_fc_out_h,cnn_pool_1,cnn_pool_2,cnn_pool_3,td,td_sa_d_model,td_sa_nhead,td_sa_pos_enc,td_sa_num_layers,td_sa_h,td_sa_dropout,td_lstm_h,td_lstm_num_layers,td_lstm_dropout,td_lstm_bidirectional,td_2,td_2_sa_d_model,td_2_sa_nhead,td_2_sa_pos_enc,td_2_sa_num_layers,td_2_sa_h,td_2_sa_dropout,td_2_lstm_h,td_2_lstm_num_layers,td_2_lstm_dropout,td_2_lstm_bidirectional,pool,pool_att_h,pool_att_dropout,yaml,mode,dim,double_ended,csv_ref,now
train_tts_model_240411_163140624015,00021,train_tts_model_240411_163140624015.tar,0.21480152524899745,180.09,11020,2700,0.8552789318994178,0.4406966115894452,0.898380467858994,0.5012156959729261,0.8619173301204521,0.4562503807726702,0.4422306109193722,nan,nan,nan,nan,train_tts_model,NISQA_Corpus,artifacts,False,NISQA_corpus_file.csv,None,filepath_deg,mos,mos,"['NISQA_TRAIN_SIM', 'NISQA_TRAIN_LIVE']","['NISQA_VAL_SIM', 'NISQA_VAL_LIVE']",50,5,32,32,0.001,15,4,False,False,0,None,best_only,2,None,None,None,None,20000,4096,0.01,0.02,48,15,4,1300,None,NISQA,adapt,16,32,64,"(3, 3)",0.2,None,"[24, 7]","[12, 5]","[6, 3]",self_att,64,1,False,2,64,0.1,None,None,None,None,skip,None,None,None,None,None,None,None,None,None,None,att,128,0,config/train_nisqa_cnn_sa_ap.yaml,main,False,False,None,2024-04-11 16:31:40.624015
train_tts_model_240411_163140624015,00022,train_tts_model_240411_163140624015.tar,0.2080393419965454,181.56,11020,2700,0.8619630256426902,0.4322300470190198,0.8941102633511943,0.493466531286986,0.8552648818592914,0.4550063435820145,0.45183211080270524,nan,nan,nan,nan,train_tts_model,NISQA_Corpus,artifacts,False,NISQA_corpus_file.csv,None,filepath_deg,mos,mos,"['NISQA_TRAIN_SIM', 'NISQA_TRAIN_LIVE']","['NISQA_VAL_SIM', 'NISQA_VAL_LIVE']",50,5,32,32,0.001,15,4,False,False,0,None,best_only,2,None,None,None,None,20000,4096,0.01,0.02,48,15,4,1300,None,NISQA,adapt,16,32,64,"(3, 3)",0.2,None,"[24, 7]","[12, 5]","[6, 3]",self_att,64,1,False,2,64,0.1,None,None,None,None,skip,None,None,None,None,None,None,None,None,None,None,att,128,0,config/train_nisqa_cnn_sa_ap.yaml,main,False,False,None,2024-04-11 16:31:40.624015
train_tts_model_240411_163140624015,00023,train_tts_model_240411_163140624015.tar,0.20736781835987947,179.52,11020,2700,0.8614505722692175,0.43230304698862454,0.8895025547407135,0.5190415979126983,0.853260433934264,0.47588415016455565,0.45639633476416547,nan,nan,nan,nan,train_tts_model,NISQA_Corpus,artifacts,False,NISQA_corpus_file.csv,None,filepath_deg,mos,mos,"['NISQA_TRAIN_SIM', 'NISQA_TRAIN_LIVE']","['NISQA_VAL_SIM', 'NISQA_VAL_LIVE']",50,5,32,32,0.001,15,4,False,False,0,None,best_only,2,None,None,None,None,20000,4096,0.01,0.02,48,15,4,1300,None,NISQA,adapt,16,32,64,"(3, 3)",0.2,None,"[24, 7]","[12, 5]","[6, 3]",self_att,64,1,False,2,64,0.1,None,None,None,None,skip,None,None,None,None,None,None,None,None,None,None,att,128,0,config/train_nisqa_cnn_sa_ap.yaml,main,False,False,None,2024-04-11 16:31:40.624015
train_tts_model_240411_163140624015,00024,train_tts_model_240411_163140624015.tar,0.20923458687637164,179.58,11020,2700,0.8613292281200344,0.43318222815525964,0.8937334316265796,0.5424811544186503,0.8640487743778493,0.49414220224269007,0.44292985862824963,nan,nan,nan,nan,train_tts_model,NISQA_Corpus,artifacts,False,NISQA_corpus_file.csv,None,filepath_deg,mos,mos,"['NISQA_TRAIN_SIM', 'NISQA_TRAIN_LIVE']","['NISQA_VAL_SIM', 'NISQA_VAL_LIVE']",50,5,32,32,0.001,15,4,False,False,0,None,best_only,2,None,None,None,None,20000,4096,0.01,0.02,48,15,4,1300,None,NISQA,adapt,16,32,64,"(3, 3)",0.2,None,"[24, 7]","[12, 5]","[6, 3]",self_att,64,1,False,2,64,0.1,None,None,None,None,skip,None,None,None,None,None,None,None,None,None,None,att,128,0,config/train_nisqa_cnn_sa_ap.yaml,main,False,False,None,2024-04-11 16:31:40.624015
train_tts_model_240411_163140624015,00025,train_tts_model_240411_163140624015.tar,0.19875308612118597,180.77,11020,2700,0.8629646240609297,0.42777269855194844,0.8944166139861836,0.518724765073127,0.8552016879625388,0.4660274758823806,0.45161349740236567,nan,nan,nan,nan,train_tts_model,NISQA_Corpus,artifacts,False,NISQA_corpus_file.csv,None,filepath_deg,mos,mos,"['NISQA_TRAIN_SIM', 'NISQA_TRAIN_LIVE']","['NISQA_VAL_SIM', 'NISQA_VAL_LIVE']",50,5,32,32,0.001,15,4,False,False,0,None,best_only,2,None,None,None,None,20000,4096,0.01,0.02,48,15,4,1300,None,NISQA,adapt,16,32,64,"(3, 3)",0.2,None,"[24, 7]","[12, 5]","[6, 3]",self_att,64,1,False,2,64,0.1,None,None,None,None,skip,None,None,None,None,None,None,None,None,None,None,att,128,0,config/train_nisqa_cnn_sa_ap.yaml,main,False,False,None,2024-04-11 16:31:40.624015
train_tts_model_240411_163140624015,00026,train_tts_model_240411_163140624015.tar,0.2023052505608918,180.96,11020,2700,0.8669949984799217,0.42529034259896425,0.8910587395381835,0.5586003703577637,0.8385828535576583,0.5477885316734666,0.46911696943018405,nan,nan,nan,nan,train_tts_model,NISQA_Corpus,artifacts,False,NISQA_corpus_file.csv,None,filepath_deg,mos,mos,"['NISQA_TRAIN_SIM', 'NISQA_TRAIN_LIVE']","['NISQA_VAL_SIM', 'NISQA_VAL_LIVE']",50,5,32,32,0.001,15,4,False,False,0,None,best_only,2,None,None,None,None,20000,4096,0.01,0.02,48,15,4,1300,None,NISQA,adapt,16,32,64,"(3, 3)",0.2,None,"[24, 7]","[12, 5]","[6, 3]",self_att,64,1,False,2,64,0.1,None,None,None,None,skip,None,None,None,None,None,None,None,None,None,None,att,128,0,config/train_nisqa_cnn_sa_ap.yaml,main,False,False,None,2024-04-11 16:31:40.624015
train_tts_model_240411_163140624015,00027,train_tts_model_240411_163140624015.tar,0.19792679023483525,178.96,11020,2700,0.8605058131477754,0.42971149717807344,0.8811191494424658,0.5332378323536623,0.8308385657953657,0.5312366743179087,0.48104321014744156,nan,nan,nan,nan,train_tts_model,NISQA_Corpus,artifacts,False,NISQA_corpus_file.csv,None,filepath_deg,mos,mos,"['NISQA_TRAIN_SIM', 'NISQA_TRAIN_LIVE']","['NISQA_VAL_SIM', 'NISQA_VAL_LIVE']",50,5,32,32,0.001,15,4,False,False,0,None,best_only,2,None,None,None,None,20000,4096,0.01,0.02,48,15,4,1300,None,NISQA,adapt,16,32,64,"(3, 3)",0.2,None,"[24, 7]","[12, 5]","[6, 3]",self_att,64,1,False,2,64,0.1,None,None,None,None,skip,None,None,None,None,None,None,None,None,None,None,att,128,0,config/train_nisqa_cnn_sa_ap.yaml,main,False,False,None,2024-04-11 16:31:40.624015
train_tts_model_240411_163140624015,00028,train_tts_model_240411_163140624015.tar,0.19250636429026508,179.31,11020,2700,0.8667298149972484,0.42193992179885287,0.901022532278148,0.5068648415293389,0.8617833966985551,0.4578524818066032,0.440808884627108,nan,nan,nan,nan,train_tts_model,NISQA_Corpus,artifacts,False,NISQA_corpus_file.csv,None,filepath_deg,mos,mos,"['NISQA_TRAIN_SIM', 'NISQA_TRAIN_LIVE']","['NISQA_VAL_SIM', 'NISQA_VAL_LIVE']",50,5,32,32,0.001,15,4,False,False,0,None,best_only,2,None,None,None,None,20000,4096,0.01,0.02,48,15,4,1300,None,NISQA,adapt,16,32,64,"(3, 3)",0.2,None,"[24, 7]","[12, 5]","[6, 3]",self_att,64,1,False,2,64,0.1,None,None,None,None,skip,None,None,None,None,None,None,None,None,None,None,att,128,0,config/train_nisqa_cnn_sa_ap.yaml,main,False,False,None,2024-04-11 16:31:40.624015
train_tts_model_240411_163140624015,00029,train_tts_model_240411_163140624015.tar,0.1869746288527613,181.72,11020,2700,0.8741220861765684,0.41264681697593353,0.8983412549716522,0.499788788903007,0.8554215406727053,0.47931935142402066,0.44857223061919027,nan,nan,nan,nan,train_tts_model,NISQA_Corpus,artifacts,False,NISQA_corpus_file.csv,None,filepath_deg,mos,mos,"['NISQA_TRAIN_SIM', 'NISQA_TRAIN_LIVE']","['NISQA_VAL_SIM', 'NISQA_VAL_LIVE']",50,5,32,32,0.001,15,4,False,False,0,None,best_only,2,None,None,None,None,20000,4096,0.01,0.02,48,15,4,1300,None,NISQA,adapt,16,32,64,"(3, 3)",0.2,None,"[24, 7]","[12, 5]","[6, 3]",self_att,64,1,False,2,64,0.1,None,None,None,None,skip,None,None,None,None,None,None,None,None,None,None,att,128,0,config/train_nisqa_cnn_sa_ap.yaml,main,False,False,None,2024-04-11 16:31:40.624015
train_tts_model_240411_163140624015,00030,train_tts_model_240411_163140624015.tar,0.18505221711120742,182.39,11020,2700,0.8746498514212634,0.41144532057212324,0.8537566396756432,0.8069496557110423,0.8016983560243728,0.7204081054627205,0.5213584339439238,nan,nan,nan,nan,train_tts_model,NISQA_Corpus,artifacts,False,NISQA_corpus_file.csv,None,filepath_deg,mos,mos,"['NISQA_TRAIN_SIM', 'NISQA_TRAIN_LIVE']","['NISQA_VAL_SIM', 'NISQA_VAL_LIVE']",50,5,32,32,0.001,15,4,False,False,0,None,best_only,2,None,None,None,None,20000,4096,0.01,0.02,48,15,4,1300,None,NISQA,adapt,16,32,64,"(3, 3)",0.2,None,"[24, 7]","[12, 5]","[6, 3]",self_att,64,1,False,2,64,0.1,None,None,None,None,skip,None,None,None,None,None,None,None,None,None,None,att,128,0,config/train_nisqa_cnn_sa_ap.yaml,main,False,False,None,2024-04-11 16:31:40.624015
train_tts_model_240411_163140624015,00031,train_tts_model_240411_163140624015.tar,0.18621491720710975,181.38,11020,2700,0.8759320658733554,0.41062047446154515,0.8589380884277993,0.7809010466501038,0.8294484133125366,0.6798455169155985,0.49493360260294206,nan,nan,nan,nan,train_tts_model,NISQA_Corpus,artifacts,False,NISQA_corpus_file.csv,None,filepath_deg,mos,mos,"['NISQA_TRAIN_SIM', 'NISQA_TRAIN_LIVE']","['NISQA_VAL_SIM', 'NISQA_VAL_LIVE']",50,5,32,32,0.001,15,4,False,False,0,None,best_only,2,None,None,None,None,20000,4096,0.01,0.02,48,15,4,1300,None,NISQA,adapt,16,32,64,"(3, 3)",0.2,None,"[24, 7]","[12, 5]","[6, 3]",self_att,64,1,False,2,64,0.1,None,None,None,None,skip,None,None,None,None,None,None,None,None,None,None,att,128,0,config/train_nisqa_cnn_sa_ap.yaml,main,False,False,None,2024-04-11 16:31:40.624015
train_tts_model_240411_163140624015,00032,train_tts_model_240411_163140624015.tar,0.18952269916949066,180.71,11020,2700,0.8658271844359527,0.4215016576395451,0.8993033394850171,0.5373797222045259,0.8560184673379136,0.48269947022628945,0.44741780422770666,nan,nan,nan,nan,train_tts_model,NISQA_Corpus,artifacts,False,NISQA_corpus_file.csv,None,filepath_deg,mos,mos,"['NISQA_TRAIN_SIM', 'NISQA_TRAIN_LIVE']","['NISQA_VAL_SIM', 'NISQA_VAL_LIVE']",50,5,32,32,0.001,15,4,False,False,0,None,best_only,2,None,None,None,None,20000,4096,0.01,0.02,48,15,4,1300,None,NISQA,adapt,16,32,64,"(3, 3)",0.2,None,"[24, 7]","[12, 5]","[6, 3]",self_att,64,1,False,2,64,0.1,None,None,None,None,skip,None,None,None,None,None,None,None,None,None,None,att,128,0,config/train_nisqa_cnn_sa_ap.yaml,main,False,False,None,2024-04-11 16:31:40.624015
train_tts_model_240411_163140624015,00033,train_tts_model_240411_163140624015.tar,0.18125651226095532,181.57,11020,2700,0.8763913888674492,0.4082139548890228,0.8759660323534961,0.5884750764538569,0.8257925296614227,0.5503284974868533,0.4874848039094234,nan,nan,nan,nan,train_tts_model,NISQA_Corpus,artifacts,False,NISQA_corpus_file.csv,None,filepath_deg,mos,mos,"['NISQA_TRAIN_SIM', 'NISQA_TRAIN_LIVE']","['NISQA_VAL_SIM', 'NISQA_VAL_LIVE']",50,5,32,32,0.001,15,4,False,False,0,None,best_only,2,None,None,None,None,20000,4096,0.01,0.02,48,15,4,1300,None,NISQA,adapt,16,32,64,"(3, 3)",0.2,None,"[24, 7]","[12, 5]","[6, 3]",self_att,64,1,False,2,64,0.1,None,None,None,None,skip,None,None,None,None,None,None,None,None,None,None,att,128,0,config/train_nisqa_cnn_sa_ap.yaml,main,False,False,None,2024-04-11 16:31:40.624015
